###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1676145600,101068667,1195012032,,,,,,,,
1676149200,91934884,669914414,,,,,,,,
1676152800,89228120,592411302,,,,,,,,
1676156400,88902494,635704038,,,,,,,,
1676160000,99171495,787922735,,,,,,,,
1676163600,88537864,592756000,,,,,,,,
1676167200,89583595,623152615,,,,,,,,
1676170800,566234874,880720433,,,,,,,,
1676174400,99926940,996026970,,,,,,,,
1676178000,91800419,683008419,,,,,,,,
1676181600,144092355,3429437115,,,,,,,,
1676185200,118783152,1787309038,,,,,,,,
1676188800,115498774,794743246,,,,,,,,
1676192400,125370090,1887276055,,,,,,,,
1676196000,94827583,637788369,,,,,,,,
1676199600,93638026,597281981,,,,,,,,
1676203200,97107377,635154629,,,,,,,,
1676206800,98264777,557827678,,,,,,,,
1676210400,98042180,621949909,,,,,,,,
1676214000,109629824,642008780,,,,,,,,
1676217600,1981845850,2783403589,,,,,,,,
1676221200,90533299,642798090,,,,,,,,
1676224800,87988892,594747834,,,,,,,,
1676228400,89888603,626224695,,,,,,,,
1676232000,88432558,472134440,,,,,,,,
1676235600,93662172,763887677,,,,,,,,
1676239200,90115784,596064158,,,,,,,,
1676242800,103259447,846144482,,,,,,,,
1676246400,266217632,6817672366,,,,,,,,
1676250000,2471956233,12860976844,,,,,,,,
1676253600,6022770019,9478604422,,,,,,,,
1676257200,1251986678,5087541853,,,,,,,,
1676260800,623266779,8456675079,,,,,,,,
1676264400,610712783,5625375238,,,,,,,,
1676268000,1354834436,3903010957,,,,,,,,
1676271600,1452876605,4417182426,,,,,,,,
1676275200,3681242132,8813201872,,,,,,,,
1676278800,537484339,2780265963,,,,,,,,
1676282400,457409628,1103359222,,,,,,,,
1676286000,95547250,1094282468,,,,,,,,
1676289600,104196952,500757389,,,,,,,,
1676293200,87963861,483072703,,,,,,,,
1676296800,89960614,523169731,,,,,,,,
1676300400,105557227,459303038,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users over Time###,,,,,,,,,,
(null),10.8.168.10,10.8.7.2,10.8.8.128,10.8.8.152,10.8.8.155,10.8.8.169,10.8.8.245,10.8.8.50,10.8.8.97,user1 
1675699200,814,981,0,311,320,3656,829,585,362,1303
1675702800,822,992,0,313,304,3658,828,614,281,1147
1675706400,819,988,0,341,337,3649,829,597,301,1269
1675710000,818,990,0,307,306,3643,824,617,336,1349
1675713600,818,972,0,321,325,3635,832,576,322,1346
1675717200,815,975,0,328,319,3642,824,579,289,1351
1675720800,814,1008,0,326,314,3650,761,638,428,1227
1675724400,820,1010,0,314,315,3634,824,676,344,1301
1675728000,819,1022,938,331,336,3635,832,667,366,1318
1675731600,823,1119,786,318,327,3641,824,620,657,1354
1675735200,827,1180,678,325,322,3599,824,574,2417,1334
1675738800,819,1146,949,326,317,3575,824,557,3649,1376
1675742400,814,1099,390,322,324,3606,833,559,1645,1327
1675746000,814,1033,275,324,327,3638,818,565,4128,1330
1675749600,814,1297,2504,327,331,3660,829,589,1513,1339
1675753200,814,1236,0,326,324,3672,824,588,3852,1352
1675756800,762,1081,0,320,325,3655,824,566,1613,1306
1675760400,821,1117,0,320,321,3653,824,608,3012,1095
1675764000,754,985,0,317,315,3664,824,576,693,1203
1675767600,819,962,0,324,317,3643,832,595,1247,1262
1675771200,808,967,0,329,320,3641,829,592,708,1276
1675774800,822,977,0,319,329,3628,824,628,637,1294
1675778400,814,981,0,323,321,3651,829,708,611,1307
1675782000,814,1013,0,319,321,3635,836,610,733,1315
1675785600,804,989,0,315,310,3656,837,589,1053,1297
1675789200,814,987,0,313,318,3647,821,597,702,1097
1675792800,813,968,0,325,333,3653,832,596,645,1215
1675796400,814,971,0,321,318,3640,830,582,578,1320
1675800000,814,967,0,338,328,3640,837,555,822,1323
1675803600,819,983,0,312,317,3645,832,578,555,1281
1675807200,814,1014,0,314,317,3645,832,627,662,1194
1675810800,822,994,0,314,318,3718,820,561,694,1301
1675814400,762,1015,726,329,324,3769,818,727,953,1313
1675818000,815,1139,775,329,320,3734,824,832,639,1347
1675821600,812,1038,669,329,329,3725,824,530,94,1298
1675825200,812,1089,760,316,319,3693,821,541,56,1316
1675828800,819,1048,533,327,319,3713,818,571,55,1343
1675832400,822,1030,178,321,324,3694,828,663,59,1296
1675836000,814,1397,474,344,327,3719,836,662,44,1234
1675839600,829,1500,0,327,336,3728,833,542,60,1028
1675843200,814,1521,0,326,326,3722,824,578,47,925
1675846800,821,1102,843,315,313,3749,829,584,60,1381
1675850400,823,996,838,319,329,3730,826,589,61,1139
1675854000,814,973,754,318,319,3750,829,574,56,1168
1675857600,827,1022,751,327,324,3718,824,714,46,1163
1675861200,815,1016,750,327,322,3674,837,712,49,1248
1675864800,819,980,751,321,324,3695,824,606,61,1254
1675868400,809,985,751,319,317,3743,817,559,60,1290
1675872000,823,964,755,313,323,3736,824,586,46,1265
1675875600,818,972,751,319,306,3720,832,551,47,1137
1675879200,814,975,754,328,333,3685,821,562,56,1203
1675882800,814,976,755,316,317,3694,829,564,47,1297
1675886400,810,993,754,317,323,3713,822,679,52,1292
1675890000,814,980,750,325,321,3691,838,555,57,1347
1675893600,822,1004,757,317,327,3691,833,640,64,1280
1675897200,819,1001,748,323,324,3708,824,591,53,1340
1675900800,815,999,750,333,335,3691,829,639,45,1312
1675904400,817,1057,754,325,325,3692,830,588,59,1322
1675908000,812,1186,45,330,326,3684,819,634,74,1330
